index,mask_name,area,stage,a_LL,a_LH,a_HL,a_HH,size_group
0,mask_sub-S08047_ses-E16280_run-1_bp-chest_vp-ap_dx.png,0.20962212979793549,dec4,0.5005525350570679,0.4992451071739197,0.49963080883026123,0.5002871751785278,large
0,mask_sub-S08047_ses-E16280_run-1_bp-chest_vp-ap_dx.png,0.20962212979793549,dec3,0.49995458126068115,0.49959230422973633,0.5006732940673828,0.4996316432952881,large
0,mask_sub-S08047_ses-E16280_run-1_bp-chest_vp-ap_dx.png,0.20962212979793549,dec2,0.5001217722892761,0.5004487633705139,0.500549852848053,0.49871715903282166,large
0,mask_sub-S08047_ses-E16280_run-1_bp-chest_vp-ap_dx.png,0.20962212979793549,dec1,0.5009005069732666,0.5008519291877747,0.4999760389328003,0.49957922101020813,large
1,mask_sub-S08047_ses-E16628_run-1_bp-chest_vp-ap_dx.png,0.18901467323303223,dec4,0.5005525350570679,0.4992451071739197,0.49963080883026123,0.5002871751785278,large
1,mask_sub-S08047_ses-E16628_run-1_bp-chest_vp-ap_dx.png,0.18901467323303223,dec3,0.49995458126068115,0.49959230422973633,0.5006732940673828,0.4996316432952881,large
1,mask_sub-S08047_ses-E16628_run-1_bp-chest_vp-ap_dx.png,0.18901467323303223,dec2,0.5001217722892761,0.5004487633705139,0.500549852848053,0.49871715903282166,large
1,mask_sub-S08047_ses-E16628_run-1_bp-chest_vp-ap_dx.png,0.18901467323303223,dec1,0.5009005069732666,0.5008519291877747,0.4999760389328003,0.49957922101020813,large
2,mask_sub-S08047_ses-E16837_run-1_bp-chest_cr.png,0.18901467323303223,dec4,0.5005525350570679,0.4992451071739197,0.49963080883026123,0.5002871751785278,large
2,mask_sub-S08047_ses-E16837_run-1_bp-chest_cr.png,0.18901467323303223,dec3,0.49995458126068115,0.49959230422973633,0.5006732940673828,0.4996316432952881,large
2,mask_sub-S08047_ses-E16837_run-1_bp-chest_cr.png,0.18901467323303223,dec2,0.5001217722892761,0.5004487633705139,0.500549852848053,0.49871715903282166,large
2,mask_sub-S08047_ses-E16837_run-1_bp-chest_cr.png,0.18901467323303223,dec1,0.5009005069732666,0.5008519291877747,0.4999760389328003,0.49957922101020813,large
3,mask_sub-S08047_ses-E17130_run-1_bp-chest_cr.png,0.14833785593509674,dec4,0.5007333755493164,0.4992031455039978,0.4993872046470642,0.5003248453140259,mid
3,mask_sub-S08047_ses-E17130_run-1_bp-chest_cr.png,0.14833785593509674,dec3,0.4998317360877991,0.49951303005218506,0.5004590749740601,0.49981391429901123,mid
3,mask_sub-S08047_ses-E17130_run-1_bp-chest_cr.png,0.14833785593509674,dec2,0.49973613023757935,0.5005749464035034,0.5007040500640869,0.4987962245941162,mid
3,mask_sub-S08047_ses-E17130_run-1_bp-chest_cr.png,0.14833785593509674,dec1,0.501596987247467,0.5008381605148315,0.5000531673431396,0.49931222200393677,mid
4,mask_sub-S08047_ses-E17511_run-1_bp-chest_vp-ap_dx.png,0.12858736515045166,dec4,0.5008056163787842,0.4991756081581116,0.49925497174263,0.5002990365028381,mid
4,mask_sub-S08047_ses-E17511_run-1_bp-chest_vp-ap_dx.png,0.12858736515045166,dec3,0.49981462955474854,0.49949198961257935,0.5003757476806641,0.49975499510765076,mid
4,mask_sub-S08047_ses-E17511_run-1_bp-chest_vp-ap_dx.png,0.12858736515045166,dec2,0.4995693266391754,0.5008969306945801,0.5007516741752625,0.4989408254623413,mid
4,mask_sub-S08047_ses-E17511_run-1_bp-chest_vp-ap_dx.png,0.12858736515045166,dec1,0.5017865896224976,0.5007777214050293,0.500223696231842,0.4989621639251709,mid
5,mask_sub-S08047_ses-E17539_run-1_bp-chest_vp-ap_dx.png,0.1329520046710968,dec4,0.5007333755493164,0.4992031455039978,0.4993872046470642,0.5003248453140259,mid
5,mask_sub-S08047_ses-E17539_run-1_bp-chest_vp-ap_dx.png,0.1329520046710968,dec3,0.4998317360877991,0.49951303005218506,0.5004590749740601,0.49981391429901123,mid
5,mask_sub-S08047_ses-E17539_run-1_bp-chest_vp-ap_dx.png,0.1329520046710968,dec2,0.49973613023757935,0.5005749464035034,0.5007040500640869,0.4987962245941162,mid
5,mask_sub-S08047_ses-E17539_run-1_bp-chest_vp-ap_dx.png,0.1329520046710968,dec1,0.501596987247467,0.5008381605148315,0.5000531673431396,0.49931222200393677,mid
6,mask_sub-S08047_ses-E17682_run-1_bp-chest_vp-ap_dx.png,0.2068917453289032,dec4,0.5005525350570679,0.4992451071739197,0.49963080883026123,0.5002871751785278,large
6,mask_sub-S08047_ses-E17682_run-1_bp-chest_vp-ap_dx.png,0.2068917453289032,dec3,0.49995458126068115,0.49959230422973633,0.5006732940673828,0.4996316432952881,large
6,mask_sub-S08047_ses-E17682_run-1_bp-chest_vp-ap_dx.png,0.2068917453289032,dec2,0.5001217722892761,0.5004487633705139,0.500549852848053,0.49871715903282166,large
6,mask_sub-S08047_ses-E17682_run-1_bp-chest_vp-ap_dx.png,0.2068917453289032,dec1,0.5009005069732666,0.5008519291877747,0.4999760389328003,0.49957922101020813,large
7,mask_sub-S08047_ses-E17934_run-1_bp-chest_vp-ap_dx.png,0.20121173560619354,dec4,0.5005525350570679,0.4992451071739197,0.49963080883026123,0.5002871751785278,large
7,mask_sub-S08047_ses-E17934_run-1_bp-chest_vp-ap_dx.png,0.20121173560619354,dec3,0.49995458126068115,0.49959230422973633,0.5006732940673828,0.4996316432952881,large
7,mask_sub-S08047_ses-E17934_run-1_bp-chest_vp-ap_dx.png,0.20121173560619354,dec2,0.5001217722892761,0.5004487633705139,0.500549852848053,0.49871715903282166,large
7,mask_sub-S08047_ses-E17934_run-1_bp-chest_vp-ap_dx.png,0.20121173560619354,dec1,0.5009005069732666,0.5008519291877747,0.4999760389328003,0.49957922101020813,large
8,mask_sub-S08047_ses-E18100_run-1_bp-chest_vp-ap_dx.png,0.20505820214748383,dec4,0.5005525350570679,0.4992451071739197,0.49963080883026123,0.5002871751785278,large
8,mask_sub-S08047_ses-E18100_run-1_bp-chest_vp-ap_dx.png,0.20505820214748383,dec3,0.49995458126068115,0.49959230422973633,0.5006732940673828,0.4996316432952881,large
8,mask_sub-S08047_ses-E18100_run-1_bp-chest_vp-ap_dx.png,0.20505820214748383,dec2,0.5001217722892761,0.5004487633705139,0.500549852848053,0.49871715903282166,large
8,mask_sub-S08047_ses-E18100_run-1_bp-chest_vp-ap_dx.png,0.20505820214748383,dec1,0.5009005069732666,0.5008519291877747,0.4999760389328003,0.49957922101020813,large
9,mask_sub-S08047_ses-E26555_run-1_bp-chest_vp-ap_dx.png,0.14518892765045166,dec4,0.5007333755493164,0.4992031455039978,0.4993872046470642,0.5003248453140259,mid
9,mask_sub-S08047_ses-E26555_run-1_bp-chest_vp-ap_dx.png,0.14518892765045166,dec3,0.4998317360877991,0.49951303005218506,0.5004590749740601,0.49981391429901123,mid
9,mask_sub-S08047_ses-E26555_run-1_bp-chest_vp-ap_dx.png,0.14518892765045166,dec2,0.49973613023757935,0.5005749464035034,0.5007040500640869,0.4987962245941162,mid
9,mask_sub-S08047_ses-E26555_run-1_bp-chest_vp-ap_dx.png,0.14518892765045166,dec1,0.501596987247467,0.5008381605148315,0.5000531673431396,0.49931222200393677,mid
10,mask_sub-S08074_ses-E18689_run-1_bp-chest_vp-ap_cr.png,0.07378029078245163,dec4,0.5009679794311523,0.49901270866394043,0.49957162141799927,0.5002186298370361,mid
10,mask_sub-S08074_ses-E18689_run-1_bp-chest_vp-ap_cr.png,0.07378029078245163,dec3,0.5002830028533936,0.49934202432632446,0.5005859136581421,0.49957889318466187,mid
10,mask_sub-S08074_ses-E18689_run-1_bp-chest_vp-ap_cr.png,0.07378029078245163,dec2,0.49954184889793396,0.5015031099319458,0.49986058473587036,0.4991722106933594,mid
10,mask_sub-S08074_ses-E18689_run-1_bp-chest_vp-ap_cr.png,0.07378029078245163,dec1,0.5018652677536011,0.501284122467041,0.4994192123413086,0.49866873025894165,mid
11,mask_sub-S08077_ses-E18680_run-1_bp-chest_vp-ap_cr.png,0.029296875,dec4,0.5009898543357849,0.49913090467453003,0.4989926218986511,0.5003387928009033,small
11,mask_sub-S08077_ses-E18680_run-1_bp-chest_vp-ap_cr.png,0.029296875,dec3,0.49966785311698914,0.49941954016685486,0.5001689791679382,0.4999818801879883,small
11,mask_sub-S08077_ses-E18680_run-1_bp-chest_vp-ap_cr.png,0.029296875,dec2,0.4991813898086548,0.5010490417480469,0.5009346604347229,0.49897804856300354,small
11,mask_sub-S08077_ses-E18680_run-1_bp-chest_vp-ap_cr.png,0.029296875,dec1,0.5025891065597534,0.5007466077804565,0.5002662539482117,0.49874937534332275,small
12,mask_sub-S08097_ses-E17492_run-1_bp-chest_vp-ap_dx.png,0.03868383169174194,dec4,0.5006074905395508,0.49906861782073975,0.4996839761734009,0.5004441738128662,mid
12,mask_sub-S08097_ses-E17492_run-1_bp-chest_vp-ap_dx.png,0.03868383169174194,dec3,0.5000313520431519,0.4997393488883972,0.5007510185241699,0.49943220615386963,mid
12,mask_sub-S08097_ses-E17492_run-1_bp-chest_vp-ap_dx.png,0.03868383169174194,dec2,0.49931269884109497,0.5008044838905334,0.5000166296958923,0.4991024434566498,mid
12,mask_sub-S08097_ses-E17492_run-1_bp-chest_vp-ap_dx.png,0.03868383169174194,dec1,0.5017105340957642,0.501615047454834,0.4993616044521332,0.49923762679100037,mid
13,mask_sub-S08433_ses-E16090_run-1_bp-chest_vp-ap_dx.png,0.019212372601032257,dec4,0.5007854700088501,0.4990418255329132,0.49934619665145874,0.5004754066467285,small
13,mask_sub-S08433_ses-E16090_run-1_bp-chest_vp-ap_dx.png,0.019212372601032257,dec3,0.49977296590805054,0.49982208013534546,0.5004484057426453,0.4996277987957001,small
13,mask_sub-S08433_ses-E16090_run-1_bp-chest_vp-ap_dx.png,0.019212372601032257,dec2,0.49886059761047363,0.5007165670394897,0.500444769859314,0.49893301725387573,small
13,mask_sub-S08433_ses-E16090_run-1_bp-chest_vp-ap_dx.png,0.019212372601032257,dec1,0.5022642612457275,0.5013883709907532,0.4995671808719635,0.4994503855705261,small
14,mask_sub-S08489_ses-E19060_run-1_bp-chest_vp-ap_dx.png,0.3905652165412903,dec4,0.5005525350570679,0.4992451071739197,0.49963080883026123,0.5002871751785278,large
14,mask_sub-S08489_ses-E19060_run-1_bp-chest_vp-ap_dx.png,0.3905652165412903,dec3,0.49995458126068115,0.49959230422973633,0.5006732940673828,0.4996316432952881,large
14,mask_sub-S08489_ses-E19060_run-1_bp-chest_vp-ap_dx.png,0.3905652165412903,dec2,0.5001217722892761,0.5004487633705139,0.500549852848053,0.49871715903282166,large
14,mask_sub-S08489_ses-E19060_run-1_bp-chest_vp-ap_dx.png,0.3905652165412903,dec1,0.5009005069732666,0.5008519291877747,0.4999760389328003,0.49957922101020813,large
15,mask_sub-S08489_ses-E22262_run-1_bp-chest_vp-pa_dx.png,0.03581393510103226,dec4,0.5006615519523621,0.4991558790206909,0.49931764602661133,0.5005190968513489,mid
15,mask_sub-S08489_ses-E22262_run-1_bp-chest_vp-pa_dx.png,0.03581393510103226,dec3,0.4996575117111206,0.4998275339603424,0.5004989504814148,0.4997083842754364,mid
15,mask_sub-S08489_ses-E22262_run-1_bp-chest_vp-pa_dx.png,0.03581393510103226,dec2,0.4990275800228119,0.5004605054855347,0.5007656216621399,0.49891799688339233,mid
15,mask_sub-S08489_ses-E22262_run-1_bp-chest_vp-pa_dx.png,0.03581393510103226,dec1,0.5021636486053467,0.5012272000312805,0.4999362826347351,0.4993874132633209,mid
16,mask_sub-S08489_ses-E22906_run-1_bp-chest_vp-ap_dx.png,0.10006776452064514,dec4,0.5009164810180664,0.49918127059936523,0.4990489184856415,0.5003660917282104,mid
16,mask_sub-S08489_ses-E22906_run-1_bp-chest_vp-ap_dx.png,0.10006776452064514,dec3,0.4995872974395752,0.4994501769542694,0.5002634525299072,0.49995964765548706,mid
16,mask_sub-S08489_ses-E22906_run-1_bp-chest_vp-ap_dx.png,0.10006776452064514,dec2,0.49931633472442627,0.5007747411727905,0.501024603843689,0.499061644077301,mid
16,mask_sub-S08489_ses-E22906_run-1_bp-chest_vp-ap_dx.png,0.10006776452064514,dec1,0.5024585723876953,0.5005986094474792,0.5003381371498108,0.49891752004623413,mid
17,mask_sub-S08489_ses-E23228_run-1_bp-chest_vp-ap_cr.png,0.1983816921710968,dec4,0.5006957054138184,0.4992520809173584,0.4993911683559418,0.5003926753997803,large
17,mask_sub-S08489_ses-E23228_run-1_bp-chest_vp-ap_cr.png,0.1983816921710968,dec3,0.49969565868377686,0.4994184374809265,0.5005775690078735,0.4998002052307129,large
17,mask_sub-S08489_ses-E23228_run-1_bp-chest_vp-ap_cr.png,0.1983816921710968,dec2,0.49962055683135986,0.5004971623420715,0.5008636116981506,0.49923092126846313,large
17,mask_sub-S08489_ses-E23228_run-1_bp-chest_vp-ap_cr.png,0.1983816921710968,dec1,0.5020804405212402,0.500726580619812,0.5003005266189575,0.4989796578884125,large
18,mask_sub-S08498_ses-E18204_run-1_bp-chest_vp-ap_dx.png,0.1487962305545807,dec4,0.5008399486541748,0.49923038482666016,0.49914053082466125,0.5004074573516846,mid
18,mask_sub-S08498_ses-E18204_run-1_bp-chest_vp-ap_dx.png,0.1487962305545807,dec3,0.49953511357307434,0.4994852542877197,0.5003851652145386,0.49995535612106323,mid
18,mask_sub-S08498_ses-E18204_run-1_bp-chest_vp-ap_dx.png,0.1487962305545807,dec2,0.499484658241272,0.5004324913024902,0.501090943813324,0.4990922808647156,mid
18,mask_sub-S08498_ses-E18204_run-1_bp-chest_vp-ap_dx.png,0.1487962305545807,dec1,0.5023110508918762,0.5004742741584778,0.500360369682312,0.4991527199745178,mid
19,mask_sub-S08651_ses-E17664_run-1_bp-chest_vp-ap_dx.png,0.03055245615541935,dec4,0.5006718039512634,0.4989375174045563,0.49909406900405884,0.5003693103790283,small
19,mask_sub-S08651_ses-E17664_run-1_bp-chest_vp-ap_dx.png,0.03055245615541935,dec3,0.4997662305831909,0.499734103679657,0.5001453161239624,0.49948981404304504,small
19,mask_sub-S08651_ses-E17664_run-1_bp-chest_vp-ap_dx.png,0.03055245615541935,dec2,0.49883437156677246,0.5013723373413086,0.5005755424499512,0.4991491138935089,small
19,mask_sub-S08651_ses-E17664_run-1_bp-chest_vp-ap_dx.png,0.03055245615541935,dec1,0.5024892091751099,0.501258134841919,0.5005664229393005,0.49817872047424316,small
20,mask_sub-S09308_ses-E16093_run-1_bp-chest_vp-ap_dx.png,0.042889028787612915,dec4,0.5009045600891113,0.4991890788078308,0.4990997314453125,0.5003863573074341,mid
20,mask_sub-S09308_ses-E16093_run-1_bp-chest_vp-ap_dx.png,0.042889028787612915,dec3,0.49960389733314514,0.49946385622024536,0.5002998113632202,0.49996957182884216,mid
20,mask_sub-S09308_ses-E16093_run-1_bp-chest_vp-ap_dx.png,0.042889028787612915,dec2,0.49936872720718384,0.5006673336029053,0.5010101795196533,0.4990302324295044,mid
20,mask_sub-S09308_ses-E16093_run-1_bp-chest_vp-ap_dx.png,0.042889028787612915,dec1,0.5024147033691406,0.5006110668182373,0.5002766847610474,0.49900007247924805,mid
21,mask_sub-S09308_ses-E16127_acq-1_run-1_bp-chest_vp-ap_dx.png,0.02106584794819355,dec4,0.5009898543357849,0.49913090467453003,0.4989926218986511,0.5003387928009033,small
21,mask_sub-S09308_ses-E16127_acq-1_run-1_bp-chest_vp-ap_dx.png,0.02106584794819355,dec3,0.49966785311698914,0.49941954016685486,0.5001689791679382,0.4999818801879883,small
21,mask_sub-S09308_ses-E16127_acq-1_run-1_bp-chest_vp-ap_dx.png,0.02106584794819355,dec2,0.4991813898086548,0.5010490417480469,0.5009346604347229,0.49897804856300354,small
21,mask_sub-S09308_ses-E16127_acq-1_run-1_bp-chest_vp-ap_dx.png,0.02106584794819355,dec1,0.5025891065597534,0.5007466077804565,0.5002662539482117,0.49874937534332275,small
22,mask_sub-S09308_ses-E17371_acq-2_run-1_bp-chest_vp-ap_dx.png,0.014628507196903229,dec4,0.5006595253944397,0.49898624420166016,0.4996541738510132,0.5003895163536072,small
22,mask_sub-S09308_ses-E17371_acq-2_run-1_bp-chest_vp-ap_dx.png,0.014628507196903229,dec3,0.5001692175865173,0.4997686743736267,0.5006845593452454,0.4994044303894043,small
22,mask_sub-S09308_ses-E17371_acq-2_run-1_bp-chest_vp-ap_dx.png,0.014628507196903229,dec2,0.49905380606651306,0.5012045502662659,0.4997895359992981,0.49898669123649597,small
22,mask_sub-S09308_ses-E17371_acq-2_run-1_bp-chest_vp-ap_dx.png,0.014628507196903229,dec1,0.5017849206924438,0.5017889738082886,0.4992350935935974,0.4989703297615051,small
23,mask_sub-S09308_ses-E17491_run-1_bp-chest_vp-ap_dx.png,0.042749520391225815,dec4,0.5006470680236816,0.4990246295928955,0.49917104840278625,0.5003997087478638,mid
23,mask_sub-S09308_ses-E17491_run-1_bp-chest_vp-ap_dx.png,0.042749520391225815,dec3,0.4996854066848755,0.49974143505096436,0.500286877155304,0.49952182173728943,mid
23,mask_sub-S09308_ses-E17491_run-1_bp-chest_vp-ap_dx.png,0.042749520391225815,dec2,0.49909326434135437,0.5009583234786987,0.5007239580154419,0.4992152750492096,mid
23,mask_sub-S09308_ses-E17491_run-1_bp-chest_vp-ap_dx.png,0.042749520391225815,dec1,0.5023643970489502,0.5009737014770508,0.5005611181259155,0.49851760268211365,mid
24,mask_sub-S09308_ses-E18798_run-1_bp-chest_vp-ap_cr.png,0.07884247601032257,dec4,0.5009045600891113,0.4991890788078308,0.4990997314453125,0.5003863573074341,mid
24,mask_sub-S09308_ses-E18798_run-1_bp-chest_vp-ap_cr.png,0.07884247601032257,dec3,0.49960389733314514,0.49946385622024536,0.5002998113632202,0.49996957182884216,mid
24,mask_sub-S09308_ses-E18798_run-1_bp-chest_vp-ap_cr.png,0.07884247601032257,dec2,0.49936872720718384,0.5006673336029053,0.5010101795196533,0.4990302324295044,mid
24,mask_sub-S09308_ses-E18798_run-1_bp-chest_vp-ap_cr.png,0.07884247601032257,dec1,0.5024147033691406,0.5006110668182373,0.5002766847610474,0.49900007247924805,mid
25,mask_sub-S09308_ses-E19031_run-1_bp-chest_vp-ap_dx.png,0.11362005770206451,dec4,0.5009051561355591,0.4990730285644531,0.49935203790664673,0.5002782344818115,mid
25,mask_sub-S09308_ses-E19031_run-1_bp-chest_vp-ap_dx.png,0.11362005770206451,dec3,0.5000173449516296,0.49937117099761963,0.5004398822784424,0.4997473359107971,mid
25,mask_sub-S09308_ses-E19031_run-1_bp-chest_vp-ap_dx.png,0.11362005770206451,dec2,0.4994703531265259,0.5012103319168091,0.500289797782898,0.49909961223602295,mid
25,mask_sub-S09308_ses-E19031_run-1_bp-chest_vp-ap_dx.png,0.11362005770206451,dec1,0.502097487449646,0.5010620355606079,0.499778151512146,0.49881675839424133,mid
26,mask_sub-S09308_ses-E19513_run-1_bp-chest_vp-ap_dx.png,0.03497688099741936,dec4,0.5008586049079895,0.49912554025650024,0.4994196891784668,0.5003395676612854,mid
26,mask_sub-S09308_ses-E19513_run-1_bp-chest_vp-ap_dx.png,0.03497688099741936,dec3,0.49990585446357727,0.4993785619735718,0.5004990696907043,0.4997634291648865,mid
26,mask_sub-S09308_ses-E19513_run-1_bp-chest_vp-ap_dx.png,0.03497688099741936,dec2,0.49947214126586914,0.5008728504180908,0.5004991292953491,0.49922624230384827,mid
26,mask_sub-S09308_ses-E19513_run-1_bp-chest_vp-ap_dx.png,0.03497688099741936,dec1,0.5021912455558777,0.5010039806365967,0.4998655915260315,0.49883872270584106,mid
27,mask_sub-S09308_ses-E20237_run-1_bp-chest_vp-ap_dx.png,0.026267537847161293,dec4,0.5007854700088501,0.4990418255329132,0.49934619665145874,0.5004754066467285,small
27,mask_sub-S09308_ses-E20237_run-1_bp-chest_vp-ap_dx.png,0.026267537847161293,dec3,0.49977296590805054,0.49982208013534546,0.5004484057426453,0.4996277987957001,small
27,mask_sub-S09308_ses-E20237_run-1_bp-chest_vp-ap_dx.png,0.026267537847161293,dec2,0.49886059761047363,0.5007165670394897,0.500444769859314,0.49893301725387573,small
27,mask_sub-S09308_ses-E20237_run-1_bp-chest_vp-ap_dx.png,0.026267537847161293,dec1,0.5022642612457275,0.5013883709907532,0.4995671808719635,0.4994503855705261,small
28,mask_sub-S09308_ses-E20323_run-2_bp-chest_vp-ap_dx.png,0.0063775512389838696,dec4,0.5006595253944397,0.49898624420166016,0.4996541738510132,0.5003895163536072,small
28,mask_sub-S09308_ses-E20323_run-2_bp-chest_vp-ap_dx.png,0.0063775512389838696,dec3,0.5001692175865173,0.4997686743736267,0.5006845593452454,0.4994044303894043,small
28,mask_sub-S09308_ses-E20323_run-2_bp-chest_vp-ap_dx.png,0.0063775512389838696,dec2,0.49905380606651306,0.5012045502662659,0.4997895359992981,0.49898669123649597,small
28,mask_sub-S09308_ses-E20323_run-2_bp-chest_vp-ap_dx.png,0.0063775512389838696,dec1,0.5017849206924438,0.5017889738082886,0.4992350935935974,0.4989703297615051,small
29,mask_sub-S09308_ses-E20733_acq-2_run-1_bp-chest_vp-ap_dx.png,0.020029496401548386,dec4,0.5007854700088501,0.4990418255329132,0.49934619665145874,0.5004754066467285,small
29,mask_sub-S09308_ses-E20733_acq-2_run-1_bp-chest_vp-ap_dx.png,0.020029496401548386,dec3,0.49977296590805054,0.49982208013534546,0.5004484057426453,0.4996277987957001,small
29,mask_sub-S09308_ses-E20733_acq-2_run-1_bp-chest_vp-ap_dx.png,0.020029496401548386,dec2,0.49886059761047363,0.5007165670394897,0.500444769859314,0.49893301725387573,small
29,mask_sub-S09308_ses-E20733_acq-2_run-1_bp-chest_vp-ap_dx.png,0.020029496401548386,dec1,0.5022642612457275,0.5013883709907532,0.4995671808719635,0.4994503855705261,small
30,mask_sub-S09308_ses-E22400_run-1_bp-chest_vp-ap_dx.png,0.1019810289144516,dec4,0.5008974671363831,0.499120831489563,0.4993823766708374,0.5003336668014526,mid
30,mask_sub-S09308_ses-E22400_run-1_bp-chest_vp-ap_dx.png,0.1019810289144516,dec3,0.49991241097450256,0.49938225746154785,0.5004662275314331,0.4997474253177643,mid
